	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
7522	GTEX-132QS-2526-SM-62LFJ.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-132QS-2526-SM-62LFJ.1/coverage.w5	768	384	0.01	sum_sqrt	7522	RNA:adipose_tissue
7523	GTEX-1GMR3-0826-SM-9WYT4.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-1GMR3-0826-SM-9WYT4.1/coverage.w5	768	384	0.01	sum_sqrt	7523	RNA:adipose_tissue
7524	GTEX-1HSEH-0226-SM-ACKVV.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-1HSEH-0226-SM-ACKVV.1/coverage.w5	768	384	0.01	sum_sqrt	7524	RNA:adipose_tissue
7525	GTEX-11GSP-0326-SM-5A5KW.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-11GSP-0326-SM-5A5KW.1/coverage.w5	768	384	0.01	sum_sqrt	7525	RNA:adrenal_gland
7526	GTEX-13PVR-0226-SM-5RQJI.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-13PVR-0226-SM-5RQJI.1/coverage.w5	768	384	0.01	sum_sqrt	7526	RNA:adrenal_gland
7527	GTEX-14PKV-0726-SM-686ZF.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-14PKV-0726-SM-686ZF.1/coverage.w5	768	384	0.01	sum_sqrt	7527	RNA:adrenal_gland
7528	GTEX-T6MN-2226-SM-EVYAM.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-T6MN-2226-SM-EVYAM.1/coverage.w5	768	384	0.01	sum_sqrt	7528	RNA:bladder
7529	GTEX-U3ZN-1226-SM-4DXUD.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-U3ZN-1226-SM-4DXUD.1/coverage.w5	768	384	0.01	sum_sqrt	7529	RNA:bladder
7530	GTEX-U4B1-1226-SM-4DXT7.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-U4B1-1226-SM-4DXT7.1/coverage.w5	768	384	0.01	sum_sqrt	7530	RNA:bladder
7531	GTEX-1I4MK-0002-SM-EZ6M9.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1I4MK-0002-SM-EZ6M9.1/coverage.w5	768	384	0.01	sum_sqrt	7531	RNA:blood
7532	GTEX-1LB8K-0005-SM-DIPED.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1LB8K-0005-SM-DIPED.1/coverage.w5	768	384	0.01	sum_sqrt	7532	RNA:blood
7533	GTEX-1OKEX-0006-SM-DKPQ2.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1OKEX-0006-SM-DKPQ2.1/coverage.w5	768	384	0.01	sum_sqrt	7533	RNA:blood
7534	GTEX-14DAR-2126-SM-5RQID.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-14DAR-2126-SM-5RQID.1/coverage.w5	768	384	0.01	sum_sqrt	7534	RNA:blood_vessel
7535	GTEX-1JK1U-0426-SM-CYPSP.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-1JK1U-0426-SM-CYPSP.1/coverage.w5	768	384	0.01	sum_sqrt	7535	RNA:blood_vessel
7536	GTEX-Y3IK-2826-SM-4WWDW.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-Y3IK-2826-SM-4WWDW.1/coverage.w5	768	384	0.01	sum_sqrt	7536	RNA:blood_vessel
7537	K-562-SM-5KM2I.1	/home/drk/tillage/datasets/human/rna/recount3/bone_marrow/K-562-SM-5KM2I.1/coverage.w5	768	384	0.01	sum_sqrt	7537	RNA:bone_marrow
7538	K-562-SM-7LG4B.1	/home/drk/tillage/datasets/human/rna/recount3/bone_marrow/K-562-SM-7LG4B.1/coverage.w5	768	384	0.01	sum_sqrt	7538	RNA:bone_marrow
7539	GTEX-13FTY-0011-R11a-SM-5IJEA.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-13FTY-0011-R11a-SM-5IJEA.1/coverage.w5	768	384	0.01	sum_sqrt	7539	RNA:brain
7540	GTEX-1EX96-0011-R4a-SM-ARU82.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-1EX96-0011-R4a-SM-ARU82.1/coverage.w5	768	384	0.01	sum_sqrt	7540	RNA:brain
7541	GTEX-1H3O1-1726-SM-9WYSR.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-1H3O1-1726-SM-9WYSR.1/coverage.w5	768	384	0.01	sum_sqrt	7541	RNA:brain
7542	GTEX-13W3W-1226-SM-5LU4H.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-13W3W-1226-SM-5LU4H.1/coverage.w5	768	384	0.01	sum_sqrt	7542	RNA:breast
