	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
6068	ENCFF281BWX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAA/summary/coverage+.w5	768	384	0.3	sum_sqrt	6069	RNA:aortic smooth muscle cell male adult (21 years) and male adult (54 years)
6069	ENCFF281BWX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAA/summary/coverage-.w5	768	384	0.3	sum_sqrt	6068	RNA:aortic smooth muscle cell male adult (21 years) and male adult (54 years)
6070	ENCFF168OLY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAB/summary/coverage+.w5	768	384	0.3	sum_sqrt	6071	RNA:bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
6071	ENCFF168OLY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAB/summary/coverage-.w5	768	384	0.3	sum_sqrt	6070	RNA:bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
6072	ENCFF442VHH+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAC/summary/coverage+.w5	768	384	0.3	sum_sqrt	6073	RNA:smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
6073	ENCFF442VHH-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAC/summary/coverage-.w5	768	384	0.3	sum_sqrt	6072	RNA:smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
6074	ENCFF153YEN+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAD/summary/coverage+.w5	768	384	0.3	sum_sqrt	6075	RNA:bronchial epithelial cell female adult (40 years) and male adult (68 years)
6075	ENCFF153YEN-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAD/summary/coverage-.w5	768	384	0.3	sum_sqrt	6074	RNA:bronchial epithelial cell female adult (40 years) and male adult (68 years)
6076	ENCFF383NTW+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAE/summary/coverage+.w5	768	384	0.3	sum_sqrt	6077	RNA:bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
6077	ENCFF383NTW-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAE/summary/coverage-.w5	768	384	0.3	sum_sqrt	6076	RNA:bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
6078	ENCFF226UWU+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAF/summary/coverage+.w5	768	384	0.3	sum_sqrt	6079	RNA:endothelial cell of coronary artery female adult (41 years) and male adult (77 years)
6079	ENCFF226UWU-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAF/summary/coverage-.w5	768	384	0.3	sum_sqrt	6078	RNA:endothelial cell of coronary artery female adult (41 years) and male adult (77 years)
6080	ENCFF537AIY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAG/summary/coverage+.w5	768	384	0.3	sum_sqrt	6081	RNA:smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
6081	ENCFF537AIY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAG/summary/coverage-.w5	768	384	0.3	sum_sqrt	6080	RNA:smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
6082	ENCFF263MKB+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAH/summary/coverage+.w5	768	384	0.3	sum_sqrt	6083	RNA:regular cardiac myocyte female adult (51 years) and male adult (48 years)
6083	ENCFF263MKB-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAH/summary/coverage-.w5	768	384	0.3	sum_sqrt	6082	RNA:regular cardiac myocyte female adult (51 years) and male adult (48 years)
6084	ENCFF366CCB+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAI/summary/coverage+.w5	768	384	0.3	sum_sqrt	6085	RNA:dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
6085	ENCFF366CCB-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAI/summary/coverage-.w5	768	384	0.3	sum_sqrt	6084	RNA:dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
6086	ENCFF805UDX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAJ/summary/coverage+.w5	768	384	0.3	sum_sqrt	6087	RNA:dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
6087	ENCFF805UDX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAJ/summary/coverage-.w5	768	384	0.3	sum_sqrt	6086	RNA:dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
6088	ENCFF079OMS+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAK/summary/coverage+.w5	768	384	0.3	sum_sqrt	6089	RNA:dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
6089	ENCFF079OMS-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAK/summary/coverage-.w5	768	384	0.3	sum_sqrt	6088	RNA:dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
6090	ENCFF114NWW+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAL/summary/coverage+.w5	768	384	0.3	sum_sqrt	6091	RNA:nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
6091	ENCFF114NWW-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAL/summary/coverage-.w5	768	384	0.3	sum_sqrt	6090	RNA:nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
6092	ENCFF520FAO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAM/summary/coverage+.w5	768	384	0.3	sum_sqrt	6093	RNA:pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
6093	ENCFF520FAO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAM/summary/coverage-.w5	768	384	0.3	sum_sqrt	6092	RNA:pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
6094	ENCFF679XSO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAN/summary/coverage+.w5	768	384	0.3	sum_sqrt	6095	RNA:smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
6095	ENCFF679XSO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAN/summary/coverage-.w5	768	384	0.3	sum_sqrt	6094	RNA:smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
6096	ENCFF556PAF+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAO/summary/coverage+.w5	768	384	0.3	sum_sqrt	6097	RNA:fibroblast of lung female adult (83 years) and male adult (23 years)
